 Data, Somaj, Inflatie
 Luna ianuarie 2010,9.7,101.68
 Luna februarie 2010,9.7,100.2
 Luna martie 2010,10,100.22
 Luna aprilie 2010,8.8,100.35
 Luna mai 2010,8.5,100.15
 Luna iunie 2010,8.6,100.16
 Luna iulie 2010,8.8,102.58
 Luna august 2010,8.9,100.23
 Luna septembrie 2010,8.4,100.56
 Luna octombrie 2010,8.8,100.55
 Luna noiembrie 2010,9.1,100.52
 Luna decembrie 2010,9,100.53
 Luna ianuarie 2011,9.5,100.77
 Luna februarie 2011,9.2,100.77
 Luna martie 2011,9,100.6
 Luna aprilie 2011,9.1,100.66
 Luna mai 2011,8.6,100.21
 Luna iunie 2011,8.6,99.71
 Luna iulie 2011,8.8,99.65
 Luna august 2011,9,99.65
 Luna septembrie 2011,9,99.79
 Luna octombrie 2011,9.1,100.64
 Luna noiembrie 2011,9.5,100.42
 Luna decembrie 2011,9.7,100.23
 Luna ianuarie 2012,9.4,100.36
 Luna februarie 2012,8.9,100.64
 Luna martie 2012,9.2,100.42
 Luna aprilie 2012,8.7,100.07
 Luna mai 2012,8.5,100.2
 Luna iunie 2012,8.3,99.96
 Luna iulie 2012,8.6,100.59
 Luna august 2012,8.3,100.51
 Luna septembrie 2012,8.5,101.18
 Luna octombrie 2012,8.4,100.29
 Luna noiembrie 2012,8.5,100.04
 Luna decembrie 2012,9,100.6
 Luna ianuarie 2013,8.9,101.34
 Luna februarie 2013,9.1,100.34
 Luna martie 2013,9.5,100.04
 Luna aprilie 2013,9.5,100.11
 Luna mai 2013,8.6,100.23
 Luna iunie 2013,9.5,100.01
 Luna iulie 2013,8.5,99.66
 Luna august 2013,8.7,99.8
 Luna septembrie 2013,8.6,99.43
 Luna octombrie 2013,8.9,100.29
 Luna noiembrie 2013,8.9,99.99
 Luna decembrie 2013,9.2,100.33
 Luna ianuarie 2014,9,100.85
 Luna februarie 2014,8.9,100.33
 Luna martie 2014,9.1,100.03
 Luna aprilie 2014,8.8,100.27
 Luna mai 2014,8.1,99.96
 Luna iunie 2014,8.7,99.73
 Luna iulie 2014,8.2,99.95
 Luna august 2014,8.5,99.69
 Luna septembrie 2014,8.2,100.12
 Luna octombrie 2014,8.4,100.19
 Luna noiembrie 2014,8.8,99.81
 Luna decembrie 2014,8.4,99.9
 Luna ianuarie 2015,9.1,100.43
 Luna februarie 2015,8.9,100.33
 Luna martie 2015,8.7,100.41
 Luna aprilie 2015,8.7,100.13
 Luna mai 2015,8.2,100.47
 Luna iunie 2015,8.2,97.05
 Luna iulie 2015,8,99.83
 Luna august 2015,8.3,99.49
 Luna septembrie 2015,8.2,100.26
 Luna octombrie 2015,7.9,100.28
 Luna noiembrie 2015,8.2,100.31
 Luna decembrie 2015,8.3,100.11
