Categorii de marfuri si servicii cumparate , Luni, UM: Procente, Valoare
Total, Luna ianuarie 2010, Procente, 101.68
Total, Luna februarie 2010, Procente, 100.2
Total, Luna martie 2010, Procente, 100.22
Total, Luna aprilie 2010, Procente, 100.35
Total, Luna mai 2010, Procente, 100.15
Total, Luna iunie 2010, Procente, 100.16
Total, Luna iulie 2010, Procente, 102.58
Total, Luna august 2010, Procente, 100.23
Total, Luna septembrie 2010, Procente, 100.56
Total, Luna octombrie 2010, Procente, 100.55
Total, Luna noiembrie 2010, Procente, 100.52
Total, Luna decembrie 2010, Procente, 100.53
Total, Luna ianuarie 2011, Procente, 100.77
Total, Luna februarie 2011, Procente, 100.77
Total, Luna martie 2011, Procente, 100.6
Total, Luna aprilie 2011, Procente, 100.66
Total, Luna mai 2011, Procente, 100.21
Total, Luna iunie 2011, Procente, 99.71
Total, Luna iulie 2011, Procente, 99.65
Total, Luna august 2011, Procente, 99.65
Total, Luna septembrie 2011, Procente, 99.79
Total, Luna octombrie 2011, Procente, 100.64
Total, Luna noiembrie 2011, Procente, 100.42
Total, Luna decembrie 2011, Procente, 100.23
Total, Luna ianuarie 2012, Procente, 100.36
Total, Luna februarie 2012, Procente, 100.64
Total, Luna martie 2012, Procente, 100.42
Total, Luna aprilie 2012, Procente, 100.07
Total, Luna mai 2012, Procente, 100.2
Total, Luna iunie 2012, Procente, 99.96
Total, Luna iulie 2012, Procente, 100.59
Total, Luna august 2012, Procente, 100.51
Total, Luna septembrie 2012, Procente, 101.18
Total, Luna octombrie 2012, Procente, 100.29
Total, Luna noiembrie 2012, Procente, 100.04
Total, Luna decembrie 2012, Procente, 100.6
Total, Luna ianuarie 2013, Procente, 101.34
Total, Luna februarie 2013, Procente, 100.34
Total, Luna martie 2013, Procente, 100.04
Total, Luna aprilie 2013, Procente, 100.11
Total, Luna mai 2013, Procente, 100.23
Total, Luna iunie 2013, Procente, 100.01
Total, Luna iulie 2013, Procente, 99.66
Total, Luna august 2013, Procente, 99.8
Total, Luna septembrie 2013, Procente, 99.43
Total, Luna octombrie 2013, Procente, 100.29
Total, Luna noiembrie 2013, Procente, 99.99
Total, Luna decembrie 2013, Procente, 100.33
Total, Luna ianuarie 2014, Procente, 100.85
Total, Luna februarie 2014, Procente, 100.33
Total, Luna martie 2014, Procente, 100.03
Total, Luna aprilie 2014, Procente, 100.27
Total, Luna mai 2014, Procente, 99.96
Total, Luna iunie 2014, Procente, 99.73
Total, Luna iulie 2014, Procente, 99.95
Total, Luna august 2014, Procente, 99.69
Total, Luna septembrie 2014, Procente, 100.12
Total, Luna octombrie 2014, Procente, 100.19
Total, Luna noiembrie 2014, Procente, 99.81
Total, Luna decembrie 2014, Procente, 99.9
Total, Luna ianuarie 2015, Procente, 100.43
Total, Luna februarie 2015, Procente, 100.33
Total, Luna martie 2015, Procente, 100.41
Total, Luna aprilie 2015, Procente, 100.13
Total, Luna mai 2015, Procente, 100.47
Total, Luna iunie 2015, Procente, 97.05
Total, Luna iulie 2015, Procente, 99.83
Total, Luna august 2015, Procente, 99.49
Total, Luna septembrie 2015, Procente, 100.26
Total, Luna octombrie 2015, Procente, 100.28
Total, Luna noiembrie 2015, Procente, 100.31
Total, Luna decembrie 2015, Procente, 100.11
Total, Luna ianuarie 2016, Procente, 99.22
Total, Luna februarie 2016, Procente, 99.76
Total, Luna martie 2016, Procente, 100.1
Total, Luna aprilie 2016, Procente, 99.85
Total, Luna mai 2016, Procente, 100.25
Total, Luna iunie 2016, Procente, 99.83
