Grupe de varsta, Sexe, Luni, UM: Procente, Valoare
15 - 74 ani, Total, Luna ianuarie 2010, Procente, 9.7
15 - 74 ani, Total, Luna februarie 2010, Procente, 9.7
15 - 74 ani, Total, Luna martie 2010, Procente, 10
15 - 74 ani, Total, Luna aprilie 2010, Procente, 8.8
15 - 74 ani, Total, Luna mai 2010, Procente, 8.5
15 - 74 ani, Total, Luna iunie 2010, Procente, 8.6
15 - 74 ani, Total, Luna iulie 2010, Procente, 8.8
15 - 74 ani, Total, Luna august 2010, Procente, 8.9
15 - 74 ani, Total, Luna septembrie 2010, Procente, 8.4
15 - 74 ani, Total, Luna octombrie 2010, Procente, 8.8
15 - 74 ani, Total, Luna noiembrie 2010, Procente, 9.1
15 - 74 ani, Total, Luna decembrie 2010, Procente, 9
15 - 74 ani, Total, Luna ianuarie 2011, Procente, 9.5
15 - 74 ani, Total, Luna februarie 2011, Procente, 9.2
15 - 74 ani, Total, Luna martie 2011, Procente, 9
15 - 74 ani, Total, Luna aprilie 2011, Procente, 9.1
15 - 74 ani, Total, Luna mai 2011, Procente, 8.6
15 - 74 ani, Total, Luna iunie 2011, Procente, 8.6
15 - 74 ani, Total, Luna iulie 2011, Procente, 8.8
15 - 74 ani, Total, Luna august 2011, Procente, 9
15 - 74 ani, Total, Luna septembrie 2011, Procente, 9
15 - 74 ani, Total, Luna octombrie 2011, Procente, 9.1
15 - 74 ani, Total, Luna noiembrie 2011, Procente, 9.5
15 - 74 ani, Total, Luna decembrie 2011, Procente, 9.7
15 - 74 ani, Total, Luna ianuarie 2012, Procente, 9.4
15 - 74 ani, Total, Luna februarie 2012, Procente, 8.9
15 - 74 ani, Total, Luna martie 2012, Procente, 9.2
15 - 74 ani, Total, Luna aprilie 2012, Procente, 8.7
15 - 74 ani, Total, Luna mai 2012, Procente, 8.5
15 - 74 ani, Total, Luna iunie 2012, Procente, 8.3
15 - 74 ani, Total, Luna iulie 2012, Procente, 8.6
15 - 74 ani, Total, Luna august 2012, Procente, 8.3
15 - 74 ani, Total, Luna septembrie 2012, Procente, 8.5
15 - 74 ani, Total, Luna octombrie 2012, Procente, 8.4
15 - 74 ani, Total, Luna noiembrie 2012, Procente, 8.5
15 - 74 ani, Total, Luna decembrie 2012, Procente, 9
15 - 74 ani, Total, Luna ianuarie 2013, Procente, 8.9
15 - 74 ani, Total, Luna februarie 2013, Procente, 9.1
15 - 74 ani, Total, Luna martie 2013, Procente, 9.5
15 - 74 ani, Total, Luna aprilie 2013, Procente, 9.5
15 - 74 ani, Total, Luna mai 2013, Procente, 8.6
15 - 74 ani, Total, Luna iunie 2013, Procente, 9.5
15 - 74 ani, Total, Luna iulie 2013, Procente, 8.5
15 - 74 ani, Total, Luna august 2013, Procente, 8.7
15 - 74 ani, Total, Luna septembrie 2013, Procente, 8.6
15 - 74 ani, Total, Luna octombrie 2013, Procente, 8.9
15 - 74 ani, Total, Luna noiembrie 2013, Procente, 8.9
15 - 74 ani, Total, Luna decembrie 2013, Procente, 9.2
15 - 74 ani, Total, Luna ianuarie 2014, Procente, 9
15 - 74 ani, Total, Luna februarie 2014, Procente, 8.9
15 - 74 ani, Total, Luna martie 2014, Procente, 9.1
15 - 74 ani, Total, Luna aprilie 2014, Procente, 8.8
15 - 74 ani, Total, Luna mai 2014, Procente, 8.1
15 - 74 ani, Total, Luna iunie 2014, Procente, 8.7
15 - 74 ani, Total, Luna iulie 2014, Procente, 8.2
15 - 74 ani, Total, Luna august 2014, Procente, 8.5
15 - 74 ani, Total, Luna septembrie 2014, Procente, 8.2
15 - 74 ani, Total, Luna octombrie 2014, Procente, 8.4
15 - 74 ani, Total, Luna noiembrie 2014, Procente, 8.8
15 - 74 ani, Total, Luna decembrie 2014, Procente, 8.4
15 - 74 ani, Total, Luna ianuarie 2015, Procente, 9.1
15 - 74 ani, Total, Luna februarie 2015, Procente, 8.9
15 - 74 ani, Total, Luna martie 2015, Procente, 8.7
15 - 74 ani, Total, Luna aprilie 2015, Procente, 8.7
15 - 74 ani, Total, Luna mai 2015, Procente, 8.2
15 - 74 ani, Total, Luna iunie 2015, Procente, 8.2
15 - 74 ani, Total, Luna iulie 2015, Procente, 8
15 - 74 ani, Total, Luna august 2015, Procente, 8.3
15 - 74 ani, Total, Luna septembrie 2015, Procente, 8.2
15 - 74 ani, Total, Luna octombrie 2015, Procente, 7.9
15 - 74 ani, Total, Luna noiembrie 2015, Procente, 8.2
15 - 74 ani, Total, Luna decembrie 2015, Procente, 8.3
15 - 74 ani, Total, Luna ianuarie 2016, Procente, 8.1
15 - 74 ani, Total, Luna februarie 2016, Procente, 7.8
15 - 74 ani, Total, Luna martie 2016, Procente, 7.9
15 - 74 ani, Total, Luna aprilie 2016, Procente, 7.4
15 - 74 ani, Total, Luna mai 2016, Procente, 7.2
15 - 74 ani, Total, Luna iunie 2016, Procente, 7.1
15 - 74 ani, Total, Luna iulie 2016, Procente, 7
15 - 74 ani, Total, Luna august 2016, Procente, 6.9
15 - 74 ani, Total, Luna septembrie 2016, Procente, 7.1
15 - 74 ani, Total, Luna octombrie 2016, Procente, 6.5
15 - 74 ani, Total, Luna noiembrie 2016, Procente, 6.6
15 - 74 ani, Total, Luna decembrie 2016, Procente, 6.8
15 - 74 ani, Total, Luna ianuarie 2017, Procente, 6.4
15 - 74 ani, Total, Luna februarie 2017, Procente, 6.6
15 - 74 ani, Total, Luna martie 2017, Procente, 6.6
15 - 74 ani, Total, Luna aprilie 2017, Procente, 6
15 - 74 ani, Total, Luna mai 2017, Procente, 6.3
15 - 74 ani, Total, Luna iunie 2017, Procente, 6
15 - 74 ani, Total, Luna iulie 2017, Procente, 6
15 - 74 ani, Total, Luna august 2017, Procente, 5.9
15 - 74 ani, Total, Luna septembrie 2017, Procente, 5.9
15 - 74 ani, Total, Luna octombrie 2017, Procente, 5.7
15 - 74 ani, Total, Luna noiembrie 2017, Procente, 5.9
15 - 74 ani, Total, Luna decembrie 2017, Procente, 5.8
15 - 74 ani, Total, Luna ianuarie 2018, Procente, 5.8
15 - 74 ani, Total, Luna februarie 2018, Procente, 5.7
15 - 74 ani, Total, Luna martie 2018, Procente, 5.7
15 - 74 ani, Total, Luna aprilie 2018, Procente, 5.4
15 - 74 ani, Total, Luna mai 2018, Procente, 5.2
15 - 74 ani, Total, Luna iunie 2018, Procente, 5.1
15 - 74 ani, Total, Luna iulie 2018, Procente, 5
15 - 74 ani, Total, Luna august 2018, Procente, 5
15 - 74 ani, Total, Luna septembrie 2018, Procente, 4.7
15 - 74 ani, Total, Luna octombrie 2018, Procente, 5.1
15 - 74 ani, Total, Luna noiembrie 2018, Procente, 5.2
15 - 74 ani, Total, Luna decembrie 2018, Procente, 5.1
15 - 74 ani, Total, Luna ianuarie 2019, Procente, 5.2
15 - 74 ani, Total, Luna februarie 2019, Procente, 5.1
15 - 74 ani, Total, Luna martie 2019, Procente, 4.9
15 - 74 ani, Total, Luna aprilie 2019, Procente, 5
15 - 74 ani, Total, Luna mai 2019, Procente, 4.7
15 - 74 ani, Total, Luna iunie 2019, Procente, 4.6
15 - 74 ani, Total, Luna iulie 2019, Procente, 4.9
