Data,Somaj,Inflatie_IPC
2010-01-01,9.7,101.68
2010-02-01,9.7,100.2
2010-03-01,10.0,100.22
2010-04-01,8.8,100.35
2010-05-01,8.5,100.15
2010-06-01,8.6,100.16
2010-07-01,8.8,102.58
2010-08-01,8.9,100.23
2010-09-01,8.4,100.56
2010-10-01,8.8,100.55
2010-11-01,9.1,100.52
2010-12-01,9.0,100.53
2011-01-01,9.5,100.77
2011-02-01,9.2,100.77
2011-03-01,9.0,100.6
2011-04-01,9.1,100.66
2011-05-01,8.6,100.21
2011-06-01,8.6,99.71
2011-07-01,8.8,99.65
2011-08-01,9.0,99.65
2011-09-01,9.0,99.79
2011-10-01,9.1,100.64
2011-11-01,9.5,100.42
2011-12-01,9.7,100.23
2012-01-01,9.4,100.36
2012-02-01,8.9,100.64
2012-03-01,9.2,100.42
2012-04-01,8.7,100.07
2012-05-01,8.5,100.2
2012-06-01,8.3,99.96
2012-07-01,8.6,100.59
2012-08-01,8.3,100.51
2012-09-01,8.5,101.18
2012-10-01,8.4,100.29
2012-11-01,8.5,100.04
2012-12-01,9.0,100.6
2013-01-01,8.9,101.34
2013-02-01,9.1,100.34
2013-03-01,9.5,100.04
2013-04-01,9.5,100.11
2013-05-01,8.6,100.23
2013-06-01,9.5,100.01
2013-07-01,8.5,99.66
2013-08-01,8.7,99.8
2013-09-01,8.6,99.43
2013-10-01,8.9,100.29
2013-11-01,8.9,99.99
2013-12-01,9.2,100.33
2014-01-01,9.0,100.85
2014-02-01,8.9,100.33
2014-03-01,9.1,100.03
2014-04-01,8.8,100.27
2014-05-01,8.1,99.96
2014-06-01,8.7,99.73
2014-07-01,8.2,99.95
2014-08-01,8.5,99.69
2014-09-01,8.2,100.12
2014-10-01,8.4,100.19
2014-11-01,8.8,99.81
2014-12-01,8.4,99.9
2015-01-01,9.1,100.43
2015-02-01,8.9,100.33
2015-03-01,8.7,100.41
2015-04-01,8.7,100.13
2015-05-01,8.2,100.47
2015-06-01,8.2,97.05
2015-07-01,8.0,99.83
2015-08-01,8.3,99.49
2015-09-01,8.2,100.26
2015-10-01,7.9,100.28
2015-11-01,8.2,100.31
2015-12-01,8.3,100.11
2016-01-01,8.1,99.22
2016-02-01,7.8,99.76
2016-03-01,7.9,100.1
2016-04-01,7.4,99.85
2016-05-01,7.2,100.25
2016-06-01,7.1,99.83
2016-07-01,7.0,99.76
2016-08-01,6.9,100.07
2016-09-01,7.1,99.89
2016-10-01,6.5,100.43
2016-11-01,6.6,100.07
2016-12-01,6.8,100.24
2017-01-01,6.4,99.81
2017-02-01,6.6,99.91
2017-03-01,6.6,100.08
2017-04-01,6.0,100.28
2017-05-01,6.3,100.28
2017-06-01,6.0,100.04
2017-07-01,6.0,100.32
2017-08-01,5.9,99.8
2017-09-01,5.9,100.5
2017-10-01,5.7,101.28
2017-11-01,5.9,100.66
2017-12-01,5.8,100.32
2018-01-01,5.8,100.78
2018-02-01,5.7,100.3
2018-03-01,5.7,100.29
2018-04-01,5.4,100.54
2018-05-01,5.2,100.47
2018-06-01,5.1,100.02
2018-07-01,5.0,99.52
2018-08-01,5.0,100.28
2018-09-01,4.7,100.47
2018-10-01,5.1,100.52
2018-11-01,5.2,99.87
2018-12-01,5.1,100.16
2019-01-01,5.2,100.83
2019-02-01,5.1,100.79
2019-03-01,4.9,100.49
2019-04-01,5.0,100.61
2019-05-01,4.7,100.46
2019-06-01,4.6,99.77
2019-07-01,4.9,99.8
2019-08-01,4.6,100.06
2019-09-01,5.0,100.09
2019-10-01,4.7,100.43
2019-11-01,4.9,100.23
2019-12-01,5.1,100.42
2020-01-01,4.6,100.41
2020-02-01,5.3,100.25
2020-03-01,5.8,100.5
2020-04-01,6.3,100.26
2020-05-01,6.5,100.05
2020-06-01,6.6,100.08
2020-07-01,6.5,100.0
2020-08-01,6.3,99.95
2020-09-01,6.1,99.86
2020-10-01,6.1,100.22
2020-11-01,6.3,100.13
2020-12-01,6.5,100.34
2021-01-01,6.0,101.33
2021-02-01,6.2,100.41
2021-03-01,6.1,100.38
2021-04-01,5.4,100.45
2021-05-01,5.1,100.53
2021-06-01,4.8,100.27
2021-07-01,5.3,100.97
2021-08-01,5.4,100.24
2021-09-01,5.3,100.84
2021-10-01,5.7,101.78
2021-11-01,5.8,100.0
2021-12-01,6.2,100.71
2022-01-01,6.2,101.48
2022-02-01,6.1,100.58
2022-03-01,5.8,101.88
2022-04-01,5.4,103.74
2022-05-01,5.4,101.18
2022-06-01,5.1,100.76
2022-07-01,5.4,100.89
2022-08-01,5.3,100.56
